GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Poseidon,com.nnk.springboot.controllers,LoginController,55,0,0,0,17,0,6,0,6,0
Poseidon,com.nnk.springboot.controllers,HomeController,5,0,0,0,2,0,2,0,2,0
Poseidon,com.nnk.springboot.controllers,UserController,170,0,22,0,37,0,19,0,8,0
Poseidon,com.nnk.springboot.controllers,CurvePointController,165,0,14,0,49,0,15,0,8,0
Poseidon,com.nnk.springboot.controllers,BidListController,153,0,14,0,44,0,15,0,8,0
Poseidon,com.nnk.springboot.controllers,RatingController,91,0,6,0,25,0,10,0,7,0
Poseidon,com.nnk.springboot.controllers,TradeController,91,0,6,0,25,0,10,0,7,0
Poseidon,com.nnk.springboot.controllers,RuleNameController,91,0,6,0,25,0,10,0,7,0
Poseidon,com.nnk.springboot.domain.validators,BidValidator,43,0,8,0,10,0,8,0,4,0
Poseidon,com.nnk.springboot.services.impl,MyUserDetailsService,32,0,2,0,7,0,3,0,2,0
Poseidon,com.nnk.springboot.services.impl,UserService,33,12,0,0,10,3,4,3,4,3
Poseidon,com.nnk.springboot.services.impl,TradeService,25,0,0,0,5,0,5,0,5,0
Poseidon,com.nnk.springboot.services.impl,RuleNameService,25,0,0,0,5,0,5,0,5,0
Poseidon,com.nnk.springboot.services.impl,RatingService,25,0,0,0,5,0,5,0,5,0
Poseidon,com.nnk.springboot.services.impl,MyUserPrincipal,24,0,0,0,10,0,8,0,8,0
Poseidon,com.nnk.springboot.services.impl,CurvePointService,24,0,0,0,5,0,5,0,5,0
Poseidon,com.nnk.springboot.services.impl,BidListService,25,0,0,0,5,0,5,0,5,0
Poseidon,com.nnk.springboot.config,SecurityConfiguration,108,0,0,0,26,0,5,0,5,0
Poseidon,com.nnk.springboot,Application,8,0,0,0,3,0,2,0,2,0
Poseidon,com.nnk.springboot.domain,Rating,53,0,0,0,22,0,12,0,12,0
Poseidon,com.nnk.springboot.domain,RuleName,73,0,0,0,30,0,16,0,16,0
Poseidon,com.nnk.springboot.domain,BidList,238,0,0,0,96,0,47,0,47,0
Poseidon,com.nnk.springboot.domain,Trade,159,0,0,0,68,0,44,0,44,0
Poseidon,com.nnk.springboot.domain,User,56,12,0,0,24,5,12,1,12,1
Poseidon,com.nnk.springboot.domain,CurvePoint,57,0,0,0,25,0,14,0,14,0
Poseidon,com.nnk.springboot.controllers.api,ApiRuleNameController,132,0,8,0,34,0,11,0,7,0
Poseidon,com.nnk.springboot.controllers.api,ApiRatingController,132,0,8,0,34,0,11,0,7,0
Poseidon,com.nnk.springboot.controllers.api,ApiBidController,132,0,8,0,34,0,11,0,7,0
Poseidon,com.nnk.springboot.controllers.api,ApiCurvePointController,132,0,8,0,34,0,11,0,7,0
Poseidon,com.nnk.springboot.controllers.api,ApiTradeController,132,0,8,0,34,0,11,0,7,0
